County_FIPS,State,County,PCT_Low_Access_1Mile,PCT_Low_Income_Low_Access_1Mile,PCT_Seniors_Low_Access_1Mile,Urban,Food_Insecurity_18_20,Food_Insecurity_21_23,Grocery_Stores_2020,Store_Growth_Rate_16_20,Low_Access_POP_2019,Diabetes_Prev,Obesity_Prev,Coronary_Heart_Disease_Prev,Physical_Inactivity_Prev,Smoking_Prev,Total_Pop,Median_HH_Income,Unemployment_Rate,PCT_Poverty,PCT_65_Year_Plus,PCT_Hispanic,PCT_Black,PCT_White,PCT_Uninsured,Poor_or_Fair_Health,Food_Insecurity,Physical_Inactivity,Adult_Obesity,Adult_Smoking,Median_Household_Income
1001,AL,Autauga County,68.5786,22.12,8.05,1,14,14,4,33.33333333,33.90670013,13,38.9,7.4,26.9,15.5,59947,72481,2.4,8.6,16.28,3.8,20.4,70.6,8,18,0.15,26,38,15,68857
1003,AL,Baldwin County,72.6641,21.31,11.98,1,14,14,29,0,25.12223816,13.1,36.8,8.2,25.4,14,246989,78775,3,6.8,21.67,5.8,8,80.7,9,17,0.15,24,37,15,74248
1005,AL,Barbour County,69.2207,33.84,9.24,1,14,14,5,25,20.52067947,18.9,43.3,10.5,36.3,20.9,24643,46042,7.8,17.3,20.11,6.2,46.3,43.7,13,28,0.19,35,44,22,45298
1007,AL,Bibb County,76.6325,28.28,9.87,0,14,14,4,-20,1.593456984,15.1,41.4,8.8,32.9,21.1,22130,52541,12.1,18.4,17.38,3.5,19.7,73.4,12,25,0.19,32,41,22,56025
1009,AL,Blount County,88.707,31.73,12.41,1,14,14,4,-20,6.807623863,14,37.3,9.2,31,19.1,59518,64190,5,9.2,18.59,10.3,1.2,84.5,13,23,0.17,30,37,20,64962
1011,AL,Bullock County,79.8015,36.64,10.25,1,14,14,0,0,68.53353119,22.4,49.6,10.3,41,24.6,10058,31310,7.2,25.2,18.56,6,69.5,21,14,35,0.17,40,49,25,36204
1013,AL,Butler County,62.3547,28.47,10.18,1,14,14,3,0,11.97491264,18.2,45,9.9,36.2,19.5,18630,44755,6.5,18.8,22.01,1.7,44.7,50.5,11,26,0.17,34,46,20,44729
1015,AL,Calhoun County,61.5732,23.35,8.51,1,14,14,21,-22.22222222,35.90670395,14.5,37.7,8.2,29.2,17,116090,55029,6,12.9,18.22,4.6,21.6,69.3,11,22,0.18,29,38,18,51841
1017,AL,Chambers County,63.6125,26.9,10.2,1,14,14,5,-28.57142857,19.71384621,18.2,45.6,9.7,35.7,20.6,34192,49656,5.1,13.2,20.29,4,38.4,53.9,11,27,0.17,34,45,21,50390
1019,AL,Cherokee County,92.6475,37.95,16.52,1,14,14,0,0,13.49030972,15.2,39.9,10.1,28.7,16.3,25443,49656,3.9,11.1,24.45,1.8,3.8,90.4,12,20,0.18,27,40,18,56400
1021,AL,Chilton County,84.5572,34.44,11.02,1,14,14,4,-20,10.18653679,13.7,36.7,8.4,29.4,15.8,45992,65603,5.5,10.1,16.96,10.2,9.4,76.4,12,20,0.18,28,36,16,59165
1023,AL,Choctaw County,88.9399,42.41,15.54,0,14,14,4,33.33333333,24.33224678,20.3,46,11.1,36.9,20.2,12380,47813,5,13,24.36,1.2,37.5,56.6,12,27,0.18,34,46,21,47432
1025,AL,Clarke County,79.1678,36.41,12.26,1,14,14,6,0,39.42882919,18.5,44,9.8,35.2,19.9,22543,49249,9.2,13.1,21.06,1.2,44.6,51.1,11,26,0.19,33,44,21,50868
1027,AL,Clay County,75.9177,32.03,12.44,0,14,14,0,0,7.023150921,16.6,39.5,10.4,33.9,20.6,14192,55250,2.4,12.9,20.56,3.3,12.8,78.9,11,25,0.18,32,40,22,52077
1029,AL,Cleburne County,83.2141,33.1,12.61,0,14,14,0,0,5.954165459,15.4,39.6,10.1,33.1,20.9,15426,55345,2.6,6.8,20.12,2.1,3.6,92.2,12,23,0.18,31,39,21,59526
1031,AL,Coffee County,67.2166,20.16,9.13,1,14,14,6,-14.28571429,32.15407562,13.6,34.2,8,28.1,14.4,54920,68353,5.1,12,17.2,9.8,15.6,67.5,11,20,0.18,27,34,15,64737
